date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,importance,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1901-03-02,Wales,Scotland,1,1,British Home Championship,Wrexham,Wales,False,1.0,984.6478876604823,1021.4366000769587,984.6831246256844,1021.4013631117566
1901-03-09,England,Northern Ireland,3,0,British Home Championship,Southampton,England,False,1.0,1013.6516657810413,980.7520982090927,1014.1201434549886,980.2836205351454
1901-03-18,England,Wales,6,0,British Home Championship,Newcastle,England,False,1.0,1014.1201434549886,984.6831246256844,1014.5919312684753,984.2113368121977
1901-03-23,Northern Ireland,Wales,0,1,British Home Championship,Belfast,Ireland,False,1.0,980.2836205351454,984.2113368121977,979.7873887558626,984.7075685914805
1901-03-30,England,Scotland,2,2,British Home Championship,London,England,False,1.0,1014.5919312684753,1021.4013631117566,1014.5984639368277,1021.3948304434042
1902-02-22,Wales,Northern Ireland,0,3,British Home Championship,Cardiff,Wales,False,1.0,984.7075685914805,979.7873887558626,984.2028482597461,980.2921090875969
1902-03-01,Northern Ireland,Scotland,1,5,British Home Championship,Belfast,Ireland,False,1.0,980.2921090875969,1021.3948304434042,979.8314619068235,1021.8554776241776
1902-03-03,Wales,England,0,0,British Home Championship,Wrexham,Wales,False,1.0,984.2028482597461,1014.5984639368277,984.2319771099081,1014.5693350866657
1902-03-15,Scotland,Wales,5,1,British Home Championship,Greenock,Scotland,False,1.0,1021.8554776241776,984.2319771099081,1022.3194438229311,983.7680109111546
1902-03-22,Northern Ireland,England,0,1,British Home Championship,Belfast,Ireland,False,1.0,979.8314619068235,1014.5693350866657,979.364740514636,1015.0360564788532
1902-05-03,England,Scotland,2,2,British Home Championship,Birmingham,England,False,1.0,1015.0360564788532,1022.3194438229311,1015.0430437819194,1022.3124565198649
1902-07-20,Uruguay,Argentina,0,6,Friendly,Montevideo,Uruguay,False,1.0,1000.0,1000.0,999.5,1000.5
